Plattform,Wohnung,Name,Datum,Kommentar,Gefundenes Muster,Originalsprache
Airbnb,B6,Janosch Robin,2025-08-08,"Sehr nette Gastgeberinnen, die schnell und hilfreich auf Nachfragen geantwortet haben.  Kleine aber feine Wohnung in idyllischer Lage.  Gerne wieder. :)",gerne wieder,de
Airbnb,B6,Tom,2025-03-14,Ein sehr schönes Air BnB. Hat alles super funktioniert. Kommen gerne wieder :),"gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,B6,Natalie,2025-02-24,"Sehr nette Gastgeber*innen - es gab schon im Voraus eine klare Anleitung für alles Organisatorische und nette Empfehlungen für den Aufenthalt. Die Wohnung war wie beschrieben und fast makellos sauber. Die angegebene Notfallnummer war problemlos zu erreichen. Alle Kontaktpersonen waren sehr freundlich.  Auch die Umgebung hat einiges zu bieten. Über die Winterzeit haben einige Aktivitäten geschlossen, es gab aber dennoch mehr als genug Wanderungen und Sehenswürdigkeiten. Ich würde jederzeit wieder dort buchen.",jederzeit wieder,de
Airbnb,B6,Gordon,2025-01-31,"Alles super und wie beschrieben, gerne wieder. :)",gerne wieder,de
Airbnb,B6,Helene,2025-01-19,"Wir hatten das Vergnügen 3 Nächte in dieser Ferienwohnung verbringen zu dürfen. Über den Panorama Rundweg kommt man sehr schnell in den Nationalpark und kann auch direkt zu Fuß loswandern. Kostenfreie Parkplätze gibt es direkt vor dem Haus und Sehenswürdigkeiten wie die Bastei oder Tschechien sind schnell mit dem Auto zu erreichen.  Die Ausstattung der Küche ist hervorzuheben, da ist wirklich an alles gedacht. Wir waren zu zweit da mit Hund; zu viert stelle ich es mir jedoch etwas eng vor. Gerne wieder, danke 😊",gerne wieder,de
Airbnb,B6,Carolin,2024-11-13,"Super angenehmer Aufenthalt. Check-in und -out sind flexibel und einfach. Man bekommt viele Infos für Wanderungen und Restaurants. Eine süße Lichterkette war an, als ich angekommen bin und hat gleich eine Wohlfühl-Atmosphäre geschaffen. Die Wohnung war sehr sauber. Für vier Personen vielleicht etwas eng, aber zu zweit oder alleine perfekt. Gerne wieder.",gerne wieder,de
Airbnb,B6,Norah,2024-11-03,"Die Unterkunft war sehr gemütlich eingerichtet und sehr sauber, wir haben uns ausgesprochen wohl gefühlt. Besonders gut gefallen hat uns die zentrale Lage - wir konnten von der Haustür aus direkt loswandern. Wir haben die Zeit sehr genossen und kommen sehr gerne wieder!",gerne wieder,de
Airbnb,B7,Abdullah,2025-10-10,"Die Unterkunft war super sauber, gemütlich und genau wie beschrieben. Die Gastgeber waren herzlich, immer erreichbar und sehr aufmerksam. Man merkt, dass hier mit Liebe zum Detail gearbeitet wird absolut empfehlenswert und ich würde jederzeit wiederkommen! 🌿",jederzeit wieder,de
Airbnb,B7,Vincent,2025-07-04,"Hatten einen sehr tollen Aufenthalt. Die Ferienwohnung war trotz der kleinen Größe super ausgestattet, man hatte wirklich alles was man brauchte und es war wirklich schön eingerichtet und zum Check-In vorbereitet. Dieser war auch total einfach gestaltet. Die Lage war auch richtig schön, egal ob vom Balkon oder aus den Fenstern, überall sah man Berge und es war herrlich ruhig und entspannend. In alle Richtungen konnte man tolle Spaziergänge starten und mit einer kurzen Fahrt verbunden schöne Wanderungen in den Bergen starten. Anschließend können wir nur nochmal sagen wie begeistert wir von dieser Unterkunft waren, kommen gerne wieder. Vielen Dank!","gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,B7,Chris,2025-05-23,Wunderschöne Wohnung für zwei Personen. Ausstattung war sehr gut und alles wunderbar sauber. Die Kommunikation mit den Gastgebern lief auch hervorragend. Man kann sogar direkt von der Haustür aus anfangen zu wandern :) Gerne wieder!,gerne wieder,de
Airbnb,B7,Marcus,2025-01-29,Wunderbarer Kurztrip. Jederzeit gerne wieder,gerne wieder,de
Airbnb,B7,René,2024-12-27,"Vielen Dank für den schönen Aufenthalt, wir kommen gerne wieder",rád(a|i) (se )vrát,cs
Airbnb,B8,Emily,2025-11-05,Wir hatten eine sehr schöne Zeit und kommen gerne wieder :),"gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,B8,Mareike,2025-09-23,"Süße kleine Wohnung, perfekt für mich als Alleinreisende.  Gute Kommunikation, unkomplizierter Check-in.  Ich komme gerne wieder.",gerne wieder,de
Airbnb,B8,Luise,2025-06-29,"Seh schöne Unterkunft in ruhiger Lage. Alles so wie beschrieben und freundliche Inhaber. Der flexible Check in hat uns sehr geholfen da wir nicht genau planen konnten, wann wir ankommen. Immer wieder gern!",immer wieder (gern|kommen),de
Airbnb,B8,Jonas,2025-05-28,"Eine kleine gemütliche Dachgeschosswohnung mit einem Balkon und einer sehr schönen Aussicht. Die Wohnung hat soweit alles, was man für einen Aufenthalt benötigt. Parkmöglichkeiten sind direkt vor dem Haus.  Wir haben uns sehr wohl gefühlt und würden jederzeit wieder kommen.","wieder kommen, jederzeit wieder",de
Airbnb,B8,Tom,2025-03-13,"Super, gerne wieder. Für den Preis hatten wir einen absolut schönen Aufenthalt.",gerne wieder,de
Airbnb,B8,Jörg,2025-01-29,"Es war ein sehr schöner Aufenthalt. ☺️ Alles wie angegeben und die Küche war sehr gut ausgestattet, vielen Dank! Es gibt viel beeindruckende Natur zu entdecken.  Die Busse fahren tagsüber vor allem unter der Woche recht regelmäßig, abends leider ab ca. 17 Uhr überhaupt nicht mehr. In etwas mehr als zwei Kilometern Entfernung gibt es allerdings noch einen Bahnhof von dem aus man (bergauf) laufen kann.  Alles in allem nur empfehlenswert und wir kommen gerne wieder!☺️","gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,B8,Tobias,2025-01-14,"Gemütliche Wohnung für zwei, um sich in ruhiger Umgebung zurückzuziehen und Natur zu genießen. Die Anreise mit dem ÖPNV benötigt etwas Planung, aber war gut machbar. Kommen gerne wieder!","gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,B8,Johanna,2024-11-19,Eine kleine süße Ferienwohnung in einer sehr ruhigen und naturnahen Umgebung. Es war alles sehr sauber. Wir kommen gerne wieder.,"gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,B8,Celina,2024-11-17,Die Unterkunft war wie auf der Website beschrieben. Man hat sich sofort super aufgehoben gefühlt. Alles war sauber und vorhanden. Mein persönliches Highlight war die schöne Aussicht. Immer wieder gerne!,immer wieder (gern|kommen),de
Airbnb,B8,Christian,2024-10-31,Würden immer wieder gerne herkommen . War wirklich perfekt. :),immer wieder (gern|kommen),de
Airbnb,B8,Pauline,2024-09-15,Absolut perfekt für einen Kurztrip in die Sächsische Schweiz. Wohnung ist wie auf den Bilder abgebildet ausgestattet. Alles war sehr sauber. Wir hatten ein sehr schönen Ausblick und kommen gerne wieder.,"gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,F0,Jonathan,2025-09-18,"Sauber, zu zweit genügend Platz, alles nötige gibt es in der Wohnung, wie ausreichend Geschirr und Töpfe zum kochen, Salz oder Backpapier. Wir kommen gerne wieder.","gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,F0,Jakob,2025-07-30,Super süße Unterkunft. Ein perfekter Startpunkt für Wanderungen in der Umgebung. Die Wohnung ist perfekt ausgestattet und der Garten gegenüber lädt zu entspannten Abenden ein!! Immer wieder gern beim Team Urlaubsmagie,immer wieder (gern|kommen),de
Airbnb,F0,Bastian,2025-02-23,"Die Unterkunft liegt sehr nah am Ortskern und bot alles, was man benötigte. Ausreichend Platz, gut ausgestattete Küche, alles war sehr sauber.  Kleiner Hinweis zur Parkplatzsituation, das war leider nicht ganz so leicht, die Straße war voll und sämtliche Parkplätze in der Umgebung sind mit Parkscheibe auf 1-2 Std. begrenzt oder gegen Gebühr. Das ist aber nicht negativ gegenüber der Wohnung zu werten, sondern wirklich nur ein Hinweis, auf den man eingestellt sein sollte. Ansonsten hat es mir sehr gefallen und würde jederzeit wieder dort buchen.",jederzeit wieder,de
Airbnb,F0,Stani,2025-02-17,Preis-Leistung-Lage top! Gerne wieder!,gerne wieder,de
Airbnb,F0,Verdi,2024-11-23,Gerne wieder!,gerne wieder,de
Airbnb,F0,Sarah,2024-11-17,Wir hatten ein wunderbares Wochenende in der sächsischen Schweiz und in der Unterkunft. Alles war super sauber und es hat uns an nichts gefehlt. Sebnitz ist der perfekte Ausgangspunkt für Wanderungen durch die wunderschöne Natur. Wir kommen auf jeden Fall wieder! 🏔️,auf jeden Fall wieder,de
Airbnb,F1,Jenny,2025-09-27,Waren schon das zweite Mal in einer Ferienwohnung von Urlaubsmagie und auch dieses mal sehr zufrieden und werden wieder kommen. Perfekte Ausgangslage um in der sächsischen oder böhmischen Schweiz wandern zu gehen. Dresden und Prag sind gut mit Auto zu erreichen. Gute böhmische Küche sollte man unbedingt ausprobieren - unser Tip: Gasthof zur naschhaften Ziege in Vilemov.,wieder kommen,de
Airbnb,F1,Frank,2025-08-03,"Die Wohnung ist gut geeignet fuer Unternehmungen in der Umgebung. Sie ist mit allem ausgestattet, was benoetigt wird, sogar Duschgel ist vorhanden. Gastronmie ist in der nahen Umgebung. Die Kommunikation ist top und sehr hilfsbereit. Ich kann die Wohnung empfehlen und komme gerne wieder.",gerne wieder,de
Airbnb,F1,Louis,2025-07-07,"Schönes Apartment, gut ausgestattet. Gerne wieder :)",gerne wieder,de
Airbnb,F1,Michele,2025-04-05,"Es waren schöne 2 Nächte, wir waren nur tzm schlagen da. Leider war die Sauna ein wenig voll, so das wir es nicht geschafft haben Zweisamkeit zu finden. Es war toll und wir kommen gerne wieder.","gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,F1,Ismail Kaan,2024-12-26,"Fühlen Sie sich wie zu Hause, es ist sauber und alles was Sie brauchen ist vorhanden. Das Heizsystem funktioniert sehr gut. Ich würde es auf jeden Fall wieder besuchen.",visit again,en
Airbnb,F1,Marie-Luise,2024-11-26,"Wir kommen gerne wieder. :) war wunderschön, auch der letzte Abend, an dem wir die Sauna und den Pool nutzen konnten. danke!","gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,F1,Roman,2024-11-16,"Sehr gemütliche Wohnung, die alles zu bieten hatte, was man für einen Kurzurlaub braucht! Sehr zu empfehlen und gerne wieder!",gerne wieder,de
Airbnb,F1,Maeorie,2024-11-11,"Genau das, was wir brauchten. Gastgeber waren sehr nett und zuvorkommend. Die Küche war sehr gut ausgestattet. Wir würden auf jeden Fall wieder hier übernachten.",stay again,en
Airbnb,F1,Thomas,2024-05-04,"Wir haben uns sehr wohl gefühlt, die Wohnung ist schön und praktisch eingerichtet, sehr sauber. Check in war anhand der Beschreibung super einfach. Die Kommunikation mit Anna-Lena war sehr gut, sie hat immer schnell geantwortet. Wir würden die Wohnung jederzeit wieder buchen.","wieder buchen, jederzeit wieder",de
Airbnb,F1,Robert,2023-12-27,Eine schicke und saubere Unterkunft. Die Kommunikation lief super. Gerne wieder!,gerne wieder,de
Airbnb,F1,Valeriya,2023-12-26,"Ich habe mich in der Unterkunft direkt wohl gefühlt. Besonders die Küche war sehr gut ausgestattet. Es hat an nichts gefehlt! Schön fand ich’s auch, die Sauna im Garten gegenüber nutzen zu dürfen. Die Gastgeber habe ich nicht persönlich kennengelernt, aber sie waren die Tage über immer zu erreichen. Würde jederzeit wiederkommen :)",jederzeit wieder,de
Airbnb,F1,Judika,2023-11-10,"Jederzeit wieder, alles war in einen Superzustand. Obwohl die Unterkunft an Kopfsteinpflaster liegt, bei geschlossenen Fenster eine angenehme Ruhe.",jederzeit wieder,de
Airbnb,F1,Benjamin,2023-08-05,Absolute Empfehlung!  Schöne Wohnung - super sauber. Bei Fragen war immer jemand erreichbar. Es gibt Ausflugstipps und Restaurantempfehlungen.  Die Lage ist hervorragend für diverse Ausflüge in die sächsische Schweiz.  Wenn wir wieder in der Ecke sind auf jeden Fall gerne wieder :),gerne wieder,de
Airbnb,F2,Toni,2025-09-25,ich war komplett zufrieden mit dieser Unterkunft immer wieder gern:),immer wieder (gern|kommen),de
Airbnb,F2,Lisa-Marie,2024-11-19,Das Appartement war sehr schön eingerichtet und geräumig. Wir haben uns sehr wohl gefühlt. Es war hervorragend ausgestattet. Wir würden immer wieder kommen.,"wieder kommen, immer wieder (gern|kommen)",de
Airbnb,F2,Sarah,2024-06-28,Wir hatten eine sehr schöne Zeit in Sebnitz. Die Wohnung ist ein wirklich guter Ausgangspunkt für zahllose Wanderungen. Der nahe Busbahnhof macht dies auch gut möglich wenn man ohne Auto reist :) Wir kommen gerne wieder,"gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,F2,Madeleine,2024-04-19,"Wir hatten einen super Aufenthalt in der Wohnung! Die Wohnung ist gut ausgestattet, die Sauna ist genial, die Umgebung perfekt zum Wandern (ein Auto eignet sich da schon sehr gut). Außerdem war die Kommunikation im Vorfeld sehr freundlich und die online Gästemappe super praktisch. Immer wieder gerne!",immer wieder (gern|kommen),de
Airbnb,F2,Pascal,2024-03-15,"Es hat uns auf Anhieb gefallen. Wir waren außerhalb der Saison dort, hierdurch waren einige Lokale und Unternehmen noch geschlossen. Dennoch war es toll, man kann sehr gut wandern. Die Reisetipps vom Team Urlaubsmagie waren super. Parken war auch kein Problem. Die Sauna und Whrilpool haben wir nicht genutzt, da waren immer bereits Paare. Wir wollten die Zweisamkeit derer nicht stören. Die Wohnung wsr gemütlich eingerichtet. Kommen gerne wieder.","gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,F2,Surge,2024-02-17,"Dies ist zweifellos die beste Lage. Wir planen, im Sommer wiederzukommen, also reservieren Sie ein paar Termine für uns.",coming back,en
Airbnb,F2,Véronique,2023-12-27,Alles bestens ! Gerne wieder !,gerne wieder,de
Airbnb,F2,Jan,2023-12-18,"Rundum perfekt.  Mir ist in dieser angenehm modern eingerichteten Wohnung vor allem die gut ausgestattete Küche aufgefallen. Mülltüten und Spülmaschinentabs waren vorhanden.  Auch im Schlaf- bzw. Wohnzimmer haben wir uns sehr wohlgefühlt.  Die Bettdecken waren sehr gemütlich.  Die Umgebung kann man von Sebnitz aus sehr gut erkunden. Ich werde die Wohnung weiterempfehlen.  10/10 Punkten, auch wenn ich einen kleinen Hinweis für Leute mit Schlafschwierigkeiten habe. Das Bett hat bei der kleinsten Bewegung im Kopfteil geknackt und weitere ähnliche Geräusche gemacht. Meine Partnerin und ich schlafen normalerweise beide recht tief und sind dennoch bei jeder kleinen Bewegung, wie man sie beim Schlafen manchmal macht, wegen der Geräusche kurz aus dem Tiefschlaf in einen Halbschlaf verfallen. Nichtsdestotrotz waren es sehr erholsame Nächte bei Anna-Lena. Vielleicht wird das ja Bett zukünftig ja noch repariert oder ausgetauscht, dann ist dieser einzige Makel auch ausgemerzt.  Gerne wieder :)",gerne wieder,de
Airbnb,F2,Samantha,2023-12-02,"Eine sehr schöne Unterkunft, wo man sich gleich zuhause fühlt. Super einfacher Check in und Check out. Sehr sauber und tolle Möbel als Einrichtung, sodass man sich gleich zuhause fühlt. Dazu auch sehr preiswert. Wir kommen sehr gerne wieder",gerne wieder,de
Airbnb,F2,Jessica,2023-11-27,Alles tipp topp Gerne wieder,gerne wieder,de
Airbnb,F2,Carola,2023-11-18,Die Unterkunft von Anna-Lena entsprach vollkommen unseren Erwartungen. Der Busbahnhof ist in wenigen Gehminuten erreichbar und dadurch viele Wanderziele. Das Auto haben wir am Marktplatz abgestellt für rund 9.- am Tag. Am Wochenende ist das Parken am Markt kostenfrei. Zum Markt läuft man etwa 5 Minuten. Wir kommen gerne wieder.,"gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,F2,Roya,2023-11-12,"Alles war wie beschrieben, die Unterkunft ist wirklich toll und komplett ausgestattet! 🥰 leicht zu erreichen und sehr heimelig.  Die Gastgeber waren sehr freundlich, sie begrüßten mich mit einem Kuchen. Ich hatte einen ruhigen Aufenthalt und würde gerne wiederkommen. 🙌🏻  Das einzige Missgeschick war, dass ich 2,5 Euro/Tag als Kurtaxe in bar bezahlen musste.",love to (return|come back),en
Airbnb,F2,Veronica,2023-11-01,sehr sehr zu empfehlen. wir waren sehr zufrieden mit allem rundherum. wir kommen auf jeden Fall wieder.,auf jeden Fall wieder,de
Airbnb,F2,Cellina,2023-10-31,"Schöne Ferienwohnung für zwei Personen, alles vorhanden was man braucht. Einkaufsmöglichkeiten in unmittelbarer Nähe und für Ausflüge in der Sächsischen Schweiz ein gute Ausgangspunkt. Wir würden wieder kommen :)","wieder kommen, würden wieder (kommen|buchen)",de
Airbnb,F2,Jenny,2023-09-08,"Ich kann den Aufenthalt wärmstens empfehlen und würde jederzeit wieder hier übernachten, wenn ich erneut in der Gegend bin :)  Die Unterkunft ist liebevoll eingerichtet - wir haben uns direkt sehr wohl gefühlt. Der zur Verfügung stehende Garten ist ein Highlight, um den Abend im Freien entspannt ausklinken zu lassen.  Die Kommunikation lief einfach und unkompliziert, sehr sympathische Gastgeber.",jederzeit wieder,de
Airbnb,F3,Tim,2025-09-20,"Wir waren für einen Kurzurlaub in der F3. Es handelt sich um eine sehr saubere, schöne Wohnung in einem historischen Haus. Die Küche ist besonders gut ausgestattet. Salz, Öl und sogar Kaffe könnten haben wir vorgefunden. Ein kleines Manko ist der nicht vorhandene Parkplatz vor der Haustür. Wir könnten jedoch auf dem ca. 4 Minuten zu Fuß entfernten öffentlichen Parkplatz immer einen Platz finden. Gerne wieder.",gerne wieder,de
Airbnb,F3,Ghady,2025-08-14,"Wir hatten einen wunderbaren Aufenthalt in diesem Haus. Es war sehr sauber, gut ausgestattet und gemütlich. Die Lage ist perfekt – ruhig, aber trotzdem nah zu allen wichtigen Orten. Anna-Lena war sehr freundlich und hilfsbereit. Wir würden jederzeit gerne wiederkommen.",gerne wieder,de
Airbnb,F3,Jonas,2025-03-25,"Sehr schöne helle Unterkunft mitten in Sebnitz. Alles drumherum lief auch super easy, dank sehr guter Vorab-Kommunikation. Vielen Dank, gerne wieder!",gerne wieder,de
Airbnb,F3,Vinzenz,2025-01-19,Wirklich schöne Unterkunft. Wir kommen gerne wieder (:,"gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,F3,Josefin,2024-12-07,"Dankeschön ihr Lieben, ich komme gerne wieder!",gerne wieder,de
Airbnb,F3,Lasse,2024-08-08,Netter Kontakt. Der Aufenthalt war schön. Die Wohnung war gemütlich und vom Zustand wie auf den Bildern zu sehen. Der Garten war ein toller Ruheort. Gerne wieder :),gerne wieder,de
Airbnb,F3,Janina,2024-03-29,Wir hatten einen wundervollen Aufenthalt und kommen gerne wieder. :),"gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,F3,Alaa Eddin,2024-02-25,es war eine sehr angenehme Aufenthalt. Die Wohnung ist sauber und sehr gut organisiert. Gerne wieder.,gerne wieder,de
Airbnb,F3,Vanessa,2024-02-23,"Unser Aufenthalt war wieder sehr schön, wir kommen gerne wieder :)","gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,F3,Jenny,2024-01-02,hier kommen wir immer wieder gerne her 😍,immer wieder (gern|kommen),de
Airbnb,F3,Domenique,2023-12-06,"Top eingerichtete, gemütliche Wohnung mit allem was man braucht. Die Wohnung war super sauber und man hat sich direkt heimisch gefühlt, dazu war sie auch noch kuschelig warm. Von dort aus kann man direkt loswandern oder aber mit den öffentlichen zu den dortigen Sehenswürdigkeiten fahren, der Busbahnhof ist nur 5 Gehminuten entfernt.  Jederzeit gerne wieder.",gerne wieder,de
Airbnb,F3,Virginia,2023-12-02,War wirklich eine super niedliche Wohnung und für den Preis einfach unschlagbar! Wir kommen gerne wieder!,"gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,F3,Marian,2023-09-13,"Sehr gute vorab Beschreibung, sodass keine Fragen offen bleiben.  Die Unterkunft ist sehr gut ausgestattet. Da passt der Satz „fühl dich wie zuhause“. Ich und mein Hund kommen sehr gerne wieder!  Lg",gerne wieder,de
Airbnb,F4,Peggy,2025-11-16,Wir waren super zufrieden mit der Unterkunft und haben uns direkt wohlgefühlt. Richtig toll fanden wir das alles vorhanden war ob Gewürze oder Duschsachen und natürlich Bettwäsche+ Handtücher. Einfach nur mega toll. Vielen dank das wir da sein durften und werden Euch weiter empfehlen und bestimmt mal wieder kommen :-),wieder kommen,de
Airbnb,F4,Tina,2025-02-21,"Eine schöne geräumige Unterkunft, wie auf den Bildern beschrieben. Betten sind bezogen. Die Küche ist gut ausgestattet. Handtücher gab es auch. Die Küche bzw. der Ofen und Geschirr könnten etwas sauberer sein. Hier und da ein paar Krümel. Sonst war alles in Ordnung. Wir würden wieder kommen. Der Kontakt war wirklich sehr nett.","wieder kommen, würden wieder (kommen|buchen)",de
Airbnb,F4,Madlen,2025-02-14,Wie fühlten uns in der Wohnung sehr wohl. Die Lage war sehr gut. Parkplätze waren vorhanden. Wir kommen gerne wieder 😊,"gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,F4,Thomas,2025-02-09,Die Kommunikation war sehr gut und unser Geburtstagskind hat sogar ein Geschenk bekommen. Damit haben wir nicht gerechnet und waren sehr beeindruckt. Es war wirklich alles vorhanden und selbst einen Kinderhochstuhl haben wir noch bekommen. Einzig die Sauberkeit gefiel uns nicht so sehr. Wir kommen gerne wieder.,"gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,F4,Ahed,2024-12-28,"Toller Aufenthalt mit wunderschöner Wellness-Oase Unser Aufenthalt war wirklich fantastisch! Der Whirlpool und die Sauna waren absolute Highlights. Besonders der Whirlpool direkt am Wasser war ein Traum – perfekt zum Entspannen mit einer wunderschönen Aussicht. Wir hatten eine sehr schöne Zeit und haben uns rundum wohlgefühlt. Vielen Dank für die tolle Unterkunft und die Möglichkeit, so einen erholsamen Urlaub zu genießen. Wir kommen gerne wieder!","gerne wieder, kommen (gerne|sicher|bestimmt) wieder",de
Airbnb,F4,Steffen,2023-10-20,"Tolle Wohnung, sehr zu empfehlen und die Lage ist hervorragend, um viele Ziele in der Region anzufahren. Gerne wieder.",gerne wieder,de
Airbnb,F4,Tina,2023-09-16,"Es war sehr schön bei euch, tolle große Wohnung, alles sauber und schick/neu eingerichtet. Hatten uns wohl gefühlt, Sebastian war immer erreichbar. Kommunikation war super. Und es war ruhig bei euch, besonders nachts. Haben in eure Betten sehr gut drin geschlafen... Also euch kann man nur empfehlen 😊wir kommen bestimmt wieder... Liebe Grüße",kommen (gerne|sicher|bestimmt) wieder,de
Airbnb,FAMZI,Rahel,2025-08-07,"Die Ferienwohnung war sehr sauber, in ruhiger Lage und mit einem wunderschönen Garten. Die Küche war bestens ausgestattet – es hat wirklich an nichts gefehlt. Besonders gefreut haben uns die kleinen Aufmerksamkeiten sowie das mühevoll gestaltete Gästebuch mit vielen übersichtlichen Tipps zum Wandern und Essen in der Umgebung. Einzig die Parkplätze direkt vor dem Haus waren oft belegt, aber in der Straße konnte man mit Parkscheibe problemlos ausweichen. Wir waren mit unserem Aufenthalt rundum zufrieden und würden jederzeit wiederkommen.",jederzeit wieder,de
Airbnb,FAMZI,Juliane,2025-07-25,"Wir haben uns zu zweit sehr wohl gefühlt und hatte eine gute Zeit. Wir sind mit den öffentlichen Verkehrsmitteln angereist und das war relativ unkompliziert. Die Bahn und Bus Verbindungen in die Bastei waren sehr gut und flexibel und der Ort Sebnitz hat uns sehr gut gefallen. An der Unterkunft hat uns nichts gefehlt, alles war super und wir würden wieder kommen ! Vielen herzlichen Dank! 🌼💜","wieder kommen, würden wieder (kommen|buchen)",de
Airbnb,FAMZI,Dino,2025-06-08,alles super. gerne wieder,gerne wieder,de
Airbnb,FAMZI,Bo,2025-02-03,"Tolle Unterkunft, super organisiert, sehr sauber! Die Option, die Sauna und den Pool zu nutzen sind natürlich noch ein dicker Pluspunkt! Gerne wieder :)",gerne wieder,de
Airbnb,FAMZI,Fabian,2024-11-09,"Ich hatte einen sehr schönen  Aufenthalt! gerne wieder und jedem zu empfehlen, der gerne die Sächsischen Schweiz erkunden möchte. Alles Gute  Fabian",gerne wieder,de
